move_sequence,col0,col1,col2,col3,col4,col5,col6,best_col
0505336365,-0.999,-0.999,-0.999,-0.999,-0.999,-0.762,-0.999,5
0014155661,-0.999,-0.999,-0.999,0.762,-0.999,-0.999,-0.999,3
1124444243,-0.997,-0.848,-0.762,-0.762,-0.941,-0.635,-0.905,5
0202233335,-0.999,-0.999,-0.999,-0.999,0.000,-0.999,-0.999,4
02324,0.000,0.245,0.848,0.848,0.762,0.462,0.635,2
0454553533,-0.848,-0.762,-0.848,-0.848,-0.762,-0.848,-0.905,1
2331313553,0.848,0.905,0.995,0.848,0.941,0.941,0.995,2
03234665,-0.905,-0.905,-0.848,-0.462,-0.848,-0.848,-0.905,3
2141661,-0.762,0.000,-0.462,-0.462,-0.462,0.000,-0.762,1
0041155455,-0.635,-0.635,-0.245,-0.462,0.462,-0.635,-0.635,4
0101001045,-0.635,-0.635,-0.635,-0.635,0.462,-0.635,-0.635,4
0010515263,-0.995,-0.762,-0.462,-0.992,-0.998,0.000,-0.998,5
03000555,-0.999,-0.999,-0.762,-0.999,-0.848,-0.999,-0.762,2
11123545,-0.848,-0.848,-0.635,-0.462,-0.635,-0.635,-0.941,3
1005655252,-0.941,-0.992,-0.635,-0.762,-0.635,-0.635,-0.941,2
0100215556,-0.462,0.462,0.462,0.462,-0.462,-0.635,-0.462,1
33553555,0.635,0.635,0.635,0.848,0.999,-0.245,0.635,4
11311616,0.245,0.000,0.999,0.762,0.462,0.245,0.635,2
1053544466,-0.762,-0.762,-0.462,-0.462,-0.462,-0.462,-0.762,2
0000305655,0.245,0.462,0.998,0.848,0.635,0.762,0.635,2
1124444144,-0.964,-0.635,-0.997,-0.635,-1.000,-0.762,-0.762,1
0010123365,-0.462,-0.635,-0.848,-0.635,-0.905,-0.245,-0.762,5
0040633533,0.462,0.000,-0.762,0.000,-0.462,0.635,0.462,5
003333441,-0.999,-0.999,0.462,-0.999,-0.999,-0.999,-0.999,2
0000300262,-1.000,-0.848,-0.635,0.000,-0.462,0.462,-0.635,5
0202233032,-0.999,0.462,-0.999,0.905,0.848,0.462,-0.999,3
0454554544,-0.848,-0.762,-0.462,0.000,-0.848,0.000,-0.762,3
0100215552,-0.635,-0.462,-0.635,-0.462,-0.635,-0.762,-0.635,1
21211646,0.762,0.941,0.995,0.995,0.992,0.995,0.762,2
0016165661,-0.462,0.000,-0.462,0.000,0.245,-0.462,-0.462,4
0245554553,0.462,0.000,0.462,0.941,0.848,0.000,0.462,3
001116552,-0.999,-0.999,-0.999,0.000,-0.999,-0.999,-0.999,3
0111545455,-0.998,-0.998,-0.462,-0.762,0.462,-0.998,-0.998,4
0000300333,-1.000,-0.762,-0.462,-0.462,-0.462,0.245,-0.762,5
11123546,-0.635,-0.462,0.000,0.762,-0.462,-0.462,-0.462,3
11115253,-0.848,-0.905,0.000,0.462,-0.848,0.245,-0.905,3
2331313353,0.848,0.848,0.905,-1.000,0.848,0.905,0.848,2
012263353,-0.992,-0.848,-0.848,-0.635,-0.987,-0.987,-0.978,3
2132553,-1.000,-1.000,-1.000,-1.000,-0.635,-1.000,-1.000,4
1151516336,-0.999,-0.762,-0.999,-0.999,-0.999,-0.999,-0.999,1
131113262,0.000,0.000,0.635,0.941,0.905,0.905,0.635,3
0006164644,-0.999,-0.999,-0.999,-0.999,-0.999,-0.999,0.000,6
1001333232,-0.762,-0.998,-0.635,-0.635,-0.999,-0.635,-0.635,2
002143454,-0.999,-0.999,-0.999,-0.999,-0.995,-0.999,-0.999,4
0300040544,-0.999,-0.999,-0.999,-0.999,-0.999,-0.999,-0.999,0
0243346656,0.000,-0.462,-0.462,-0.762,-0.462,-0.999,0.000,0
020626333,-0.905,-0.848,0.635,-0.762,-0.905,-0.762,0.635,2
0400266064,-0.941,-0.987,-0.462,-0.635,-0.462,-0.635,-0.462,2
0111236666,-0.848,-0.848,-0.762,-0.462,-0.635,-0.848,-0.848,3
1225225266,0.635,0.762,-0.462,0.762,0.762,0.762,-0.245,1
0203334545,-0.762,-0.905,-0.992,-0.848,-0.762,-0.762,-0.848,0
0161633365,-0.762,-0.462,-0.635,-0.462,-0.462,0.987,0.999,6
