move_sequence,col0,col1,col2,col3,col4,col5,col6,best_col
006243061211215112640520305435535233,-1.000,-1.000,-1.000,-1.000,0.000,-1.000,-0.635,4
004440001652611640246661241322123353,-1.000,-1.000,-1.000,-0.635,-1.000,0.245,-1.000,5
004525316641560333540115544622640621,0.635,-0.635,0.000,-0.635,-1.000,-1.000,-1.000,0
001500461331341546160052143443636622,-1.000,-1.000,-0.635,-1.000,-1.000,0.635,-1.000,5
004305615556405220242211235066136114,-1.000,-1.000,-1.000,0.635,-0.635,-1.000,-0.635,3
004410561232555160662661432511335242,0.000,-1.000,-1.000,-0.635,-0.635,-1.000,-1.000,0
00134664366251230211245420126040614,-1.000,-1.000,-1.000,-0.635,-1.000,0.762,-1.000,5
00122631022001254655244111344635634,-0.635,-1.000,-1.000,0.762,-1.000,-0.635,-0.635,3
00416225243443163334300421160220666,-1.000,0.462,-1.000,-1.000,-1.000,0.762,-1.000,5
00524203330530622164214043325665154,-1.000,-0.635,-1.000,-1.000,-0.635,-0.635,-0.635,1
00440513055400314513613352435416166,-1.000,-1.000,-0.635,-1.000,-1.000,-1.000,-0.462,6
00146336446663514143325036540500151,-1.000,-0.635,-0.635,-1.000,-1.000,-0.635,-1.000,1
00451300435661422102121604463331535,-1.000,-1.000,-0.635,-1.000,-0.635,-0.635,-0.635,2
00664544304430455336312153060162655,-1.000,0.762,0.762,-1.000,-1.000,-1.000,-1.000,1
00661406133100540342634631252345116,-1.000,-1.000,-0.635,-1.000,-0.245,-0.635,-1.000,4
00006644354260346335411422215630135,-1.000,-0.462,0.462,-1.000,-1.000,0.000,0.462,2
0065446520220334002321412455141561,-1.000,-0.762,-1.000,0.762,-1.000,-0.762,0.762,3
0053302463536221040324621240366161,-1.000,-0.762,-1.000,-1.000,-0.762,0.000,-1.000,5
0000606403222215423465466114512613,-1.000,-0.762,-1.000,0.000,-0.762,-0.762,-1.000,3
0026511551546345045213210416606062,-1.000,-1.000,-0.762,-0.762,-0.762,-1.000,-1.000,2
0062132134216226546520461645555311,0.462,-1.000,-1.000,0.762,0.462,-1.000,-1.000,3
0022421544406556530041012262143165,-1.000,-0.762,-1.000,-0.762,-1.000,-0.762,-0.762,1
0065610643255244300540352564312426,-1.000,0.762,0.762,0.762,-1.000,-1.000,-0.762,1
0052031261361653422111435465643063,-0.762,-1.000,-0.762,-1.000,-0.762,-0.762,-1.000,0
0013325535160501511140044242536346,-1.000,-1.000,0.762,-0.762,0.762,-1.000,-0.762,2
0064524416540643012100661331416252,-1.000,-1.000,-0.762,-0.762,-1.000,0.762,-1.000,5
0001216214004452650356641221153234,-1.000,-1.000,-1.000,-0.762,-0.762,-0.762,-0.762,3
0035465304215035342536126511210022,-1.000,0.000,-1.000,0.762,0.000,-1.000,-0.762,3
005660105205212056616562141242534,-1.000,-0.762,-1.000,-0.635,-0.762,-1.000,-1.000,3
004162211550216434200452416024333,-1.000,-0.762,-1.000,-0.762,-1.000,-0.762,-0.635,6
002064004321021515625223145115354,-1.000,-1.000,-1.000,0.848,0.635,-1.000,0.635,3
004615544441166612453105023263501,0.635,-1.000,0.848,0.848,-1.000,0.635,0.635,2
001216021144601106444204553522555,-1.000,-1.000,0.635,0.848,-1.000,-1.000,0.635,3
001400326442446062311453220521566,-1.000,-0.762,-1.000,0.848,-1.000,0.635,-0.762,3
003401220342451321504610242155166,-1.000,-1.000,-1.000,-0.762,-0.762,-0.762,-0.762,3
002625322333010100656641155451364,-1.000,-0.762,-0.762,-0.762,-0.635,-0.762,-0.762,4
003241511523024243562524505401334,-0.762,-0.762,-1.000,0.000,-1.000,-1.000,-0.762,3
004616450266661133050431311035542,-1.000,-1.000,-0.762,-0.762,-0.762,-0.762,-1.000,2
00066634120652151121401502662534,-1.000,-1.000,-0.848,0.848,-0.848,-0.848,-1.000,3
